,correlation,tracking_error,information_ratio,sharpe_ratio
3M,0.9994624479693143,0.0006853355187851842,0.21503555148345674,-0.9615517647138274
6M,0.9991503584284582,0.0006712131916842322,0.21337776463163707,-0.3836347454074851
9M,0.9991451091177582,0.0006118177981153218,0.2632440852419354,-0.04307326994951402
