,correlation,tracking_error,information_ratio,sharpe_ratio
3M,0.7779055304033238,0.13076823561037207,3.1876443773320777,1.3314337538001246
6M,0.7304839443370913,0.13796969060704287,0.46007669565572085,1.3314337538001257
9M,0.7831370618496168,0.13611076442118325,0.040492062589663605,1.3314337538001246
1Y,0.7780101518316969,0.12780222905390268,0.40917372685695763,1.3314337538001249
